Location,Year,Season,Crop_Name,Crop_Type,Area_Sown_Ha,Area_Harvested_Ha,Production_Tonnes,Yield_Kg_Ha,MSP_Rs_Qtl,Revenue_Rs_Lakh,Water_Req_mm,Fertilizer_N_Kg_Ha,Fertilizer_P_Kg_Ha,Fertilizer_K_Kg_Ha,Pesticide_Cost_Rs_Ha,Labor_Days_Ha,Crop_Duration_Days,Sowing_Month,Harvest_Month,Irrigation_Type,Rainfall_Dependency,data_source
Erode,2020,Kharif,Sugarcane,Commercial,38640.0,38420.0,3534040.0,92040.0,2900.0,1024872.0,1800.0,250.0,80.0,120.0,3200.0,180.0,365,January,December,Drip,Very Low,"Project baseline dataset (2020-2023, course-provided)"
Erode,2020,Kharif,Turmeric,Spice,24840.0,24640.0,246400.0,10000.0,7500.0,184800.0,1100.0,150.0,60.0,100.0,2800.0,140.0,270,June,March,Drip,Low,"Project baseline dataset (2020-2023, course-provided)"
Erode,2020,Kharif,Maize,Cereal,20640.0,20420.0,134772.0,6600.0,1870.0,25192.0,480.0,120.0,60.0,40.0,2400.0,68.0,100,June,September,Drip+Flood,Low,"Project baseline dataset (2020-2023, course-provided)"
Erode,2020,Kharif,Cotton,Fiber,18840.0,18640.0,27960.0,1500.0,6080.0,17000.0,600.0,120.0,60.0,40.0,3600.0,120.0,180,June,December,Drip,Medium,"Project baseline dataset (2020-2023, course-provided)"
Erode,2020,Kharif,Groundnut,Oilseed,14420.0,14240.0,28480.0,2000.0,5550.0,15806.0,400.0,25.0,50.0,40.0,1800.0,85.0,120,June,October,Rainfed,High,"Project baseline dataset (2020-2023, course-provided)"
Erode,2020,Rabi,Paddy,Cereal,28640.0,28420.0,153468.0,5400.0,1868.0,28667.0,1200.0,120.0,60.0,60.0,2000.0,100.0,145,November,March,Flood,Low,"Project baseline dataset (2020-2023, course-provided)"
Erode,2020,Rabi,Banana,Fruit,18420.0,18400.0,368000.0,20000.0,2200.0,80960.0,1400.0,200.0,80.0,160.0,2400.0,160.0,365,Any,Any,Drip,Very Low,"Project baseline dataset (2020-2023, course-provided)"
Erode,2020,Rabi,Sunflower,Oilseed,12840.0,12740.0,31850.0,2500.0,5650.0,17995.0,350.0,60.0,30.0,40.0,1400.0,70.0,95,November,February,Rainfed,Medium,"Project baseline dataset (2020-2023, course-provided)"
Erode,2020,Summer,Vegetables,Horticulture,10420.0,10380.0,103800.0,10000.0,2500.0,25950.0,600.0,100.0,80.0,80.0,3200.0,120.0,90,February,May,Drip,Low,"Project baseline dataset (2020-2023, course-provided)"
Erode,2020,Summer,Coconut,Plantation,8640.0,8620.0,258600.0,30000.0,2600.0,67236.0,1200.0,100.0,40.0,140.0,1800.0,60.0,365,Any,Any,Drip+Flood,Low,"Project baseline dataset (2020-2023, course-provided)"
Erode,2021,Kharif,Sugarcane,Commercial,40840.0,40620.0,3737040.0,92000.0,2900.0,1083740.0,1800.0,250.0,80.0,120.0,3200.0,180.0,365,January,December,Drip,Very Low,"Project baseline dataset (2020-2023, course-provided)"
Erode,2021,Kharif,Turmeric,Spice,26240.0,26040.0,260400.0,10000.0,7500.0,195300.0,1100.0,150.0,60.0,100.0,2800.0,140.0,270,June,March,Drip,Low,"Project baseline dataset (2020-2023, course-provided)"
Erode,2021,Kharif,Maize,Cereal,22240.0,22020.0,147534.0,6700.0,1870.0,27589.0,480.0,120.0,60.0,40.0,2400.0,68.0,100,June,September,Drip+Flood,Low,"Project baseline dataset (2020-2023, course-provided)"
Erode,2021,Kharif,Cotton,Fiber,20040.0,19840.0,29760.0,1500.0,6080.0,18094.0,600.0,120.0,60.0,40.0,3600.0,120.0,180,June,December,Drip,Medium,"Project baseline dataset (2020-2023, course-provided)"
Erode,2021,Kharif,Groundnut,Oilseed,15640.0,15440.0,31494.0,2040.0,5550.0,17479.0,400.0,25.0,50.0,40.0,1800.0,85.0,120,June,October,Rainfed,High,"Project baseline dataset (2020-2023, course-provided)"
Erode,2021,Rabi,Paddy,Cereal,30240.0,30020.0,165110.0,5500.0,1868.0,30843.0,1200.0,120.0,60.0,60.0,2000.0,100.0,145,November,March,Flood,Low,"Project baseline dataset (2020-2023, course-provided)"
Erode,2021,Rabi,Banana,Fruit,19640.0,19620.0,392400.0,20000.0,2200.0,86328.0,1400.0,200.0,80.0,160.0,2400.0,160.0,365,Any,Any,Drip,Very Low,"Project baseline dataset (2020-2023, course-provided)"
Erode,2021,Rabi,Sunflower,Oilseed,13640.0,13540.0,33850.0,2500.0,5650.0,19125.0,350.0,60.0,30.0,40.0,1400.0,70.0,95,November,February,Rainfed,Medium,"Project baseline dataset (2020-2023, course-provided)"
Erode,2021,Summer,Vegetables,Horticulture,11040.0,11000.0,110000.0,10000.0,2500.0,27500.0,600.0,100.0,80.0,80.0,3200.0,120.0,90,February,May,Drip,Low,"Project baseline dataset (2020-2023, course-provided)"
Erode,2021,Summer,Coconut,Plantation,9240.0,9220.0,276600.0,30000.0,2600.0,71916.0,1200.0,100.0,40.0,140.0,1800.0,60.0,365,Any,Any,Drip+Flood,Low,"Project baseline dataset (2020-2023, course-provided)"
Erode,2022,Kharif,Sugarcane,Commercial,42640.0,42420.0,3978360.0,93800.0,3050.0,1213400.0,1800.0,250.0,80.0,120.0,3400.0,180.0,365,January,December,Drip,Very Low,"Project baseline dataset (2020-2023, course-provided)"
Erode,2022,Kharif,Turmeric,Spice,27640.0,27440.0,274400.0,10000.0,8250.0,226380.0,1100.0,150.0,60.0,100.0,2900.0,140.0,270,June,March,Drip,Low,"Project baseline dataset (2020-2023, course-provided)"
Erode,2022,Kharif,Maize,Cereal,23440.0,23220.0,156288.0,6730.0,1962.0,30664.0,480.0,120.0,60.0,40.0,2500.0,68.0,100,June,September,Drip+Flood,Low,"Project baseline dataset (2020-2023, course-provided)"
Erode,2022,Kharif,Cotton,Fiber,21040.0,20840.0,31260.0,1500.0,6380.0,19944.0,600.0,120.0,60.0,40.0,3800.0,120.0,180,June,December,Drip,Medium,"Project baseline dataset (2020-2023, course-provided)"
Erode,2022,Kharif,Groundnut,Oilseed,16440.0,16240.0,33292.0,2050.0,5850.0,19476.0,400.0,25.0,50.0,40.0,1900.0,85.0,120,June,October,Rainfed,High,"Project baseline dataset (2020-2023, course-provided)"
Erode,2022,Rabi,Paddy,Cereal,31840.0,31620.0,176272.0,5574.0,1960.0,34549.0,1200.0,120.0,60.0,60.0,2100.0,100.0,145,November,March,Flood,Low,"Project baseline dataset (2020-2023, course-provided)"
Erode,2022,Rabi,Banana,Fruit,20840.0,20820.0,416400.0,20000.0,2300.0,95772.0,1400.0,200.0,80.0,160.0,2500.0,160.0,365,Any,Any,Drip,Very Low,"Project baseline dataset (2020-2023, course-provided)"
Erode,2022,Rabi,Sunflower,Oilseed,14240.0,14140.0,35350.0,2500.0,5850.0,20680.0,350.0,60.0,30.0,40.0,1450.0,70.0,95,November,February,Rainfed,Medium,"Project baseline dataset (2020-2023, course-provided)"
Erode,2022,Summer,Vegetables,Horticulture,11640.0,11600.0,116580.0,10050.0,2600.0,30311.0,600.0,100.0,80.0,80.0,3300.0,120.0,90,February,May,Drip,Low,"Project baseline dataset (2020-2023, course-provided)"
Erode,2022,Summer,Coconut,Plantation,9840.0,9820.0,294600.0,30000.0,2700.0,79542.0,1200.0,100.0,40.0,140.0,1900.0,60.0,365,Any,Any,Drip+Flood,Low,"Project baseline dataset (2020-2023, course-provided)"
Erode,2023,Kharif,Sugarcane,Commercial,44440.0,44220.0,4143468.0,93720.0,3050.0,1263757.0,1800.0,250.0,80.0,120.0,3400.0,180.0,365,January,December,Drip,Very Low,"Project baseline dataset (2020-2023, course-provided)"
Erode,2023,Kharif,Turmeric,Spice,28840.0,28640.0,286400.0,10000.0,8350.0,239144.0,1100.0,150.0,60.0,100.0,2900.0,140.0,270,June,March,Drip,Low,"Project baseline dataset (2020-2023, course-provided)"
Erode,2023,Kharif,Maize,Cereal,24640.0,24420.0,164214.0,6724.0,1962.0,32194.0,480.0,120.0,60.0,40.0,2500.0,68.0,100,June,September,Drip+Flood,Low,"Project baseline dataset (2020-2023, course-provided)"
