Location,Year,Season,Crop_Name,Crop_Type,Area_Sown_Ha,Area_Harvested_Ha,Production_Tonnes,Yield_Kg_Ha,MSP_Rs_Qtl,Revenue_Rs_Lakh,Water_Req_mm,Fertilizer_N_Kg_Ha,Fertilizer_P_Kg_Ha,Fertilizer_K_Kg_Ha,Pesticide_Cost_Rs_Ha,Labor_Days_Ha,Crop_Duration_Days,Sowing_Month,Harvest_Month,Irrigation_Type,Rainfall_Dependency,data_source
Salem,2020,Kharif,Paddy,Cereal,24640.0,24420.0,131868.0,5400.0,1868.0,24612.0,1200.0,120.0,60.0,60.0,2000.0,100.0,145,June,November,Flood,Low,"Project baseline dataset (2020-2023, course-provided)"
Salem,2020,Kharif,Maize,Cereal,18840.0,18620.0,119168.0,6400.0,1870.0,22285.0,480.0,120.0,60.0,40.0,2400.0,68.0,100,June,September,Drip+Flood,Low,"Project baseline dataset (2020-2023, course-provided)"
Salem,2020,Kharif,Tapioca,Root Crop,16420.0,16220.0,421720.0,26000.0,650.0,27412.0,800.0,80.0,40.0,80.0,1600.0,100.0,300,June,March,Rainfed,High,"Project baseline dataset (2020-2023, course-provided)"
Salem,2020,Kharif,Groundnut,Oilseed,14240.0,14040.0,28080.0,2000.0,5550.0,15584.0,400.0,25.0,50.0,40.0,1800.0,85.0,120,June,October,Rainfed,High,"Project baseline dataset (2020-2023, course-provided)"
Salem,2020,Kharif,Cotton,Fiber,12640.0,12440.0,18660.0,1500.0,6080.0,11345.0,600.0,120.0,60.0,40.0,3600.0,120.0,180,June,December,Drip,Medium,"Project baseline dataset (2020-2023, course-provided)"
Salem,2020,Rabi,Sugarcane,Commercial,18840.0,18640.0,1694240.0,90890.0,2900.0,491330.0,1800.0,250.0,80.0,120.0,3200.0,180.0,365,January,December,Drip,Very Low,"Project baseline dataset (2020-2023, course-provided)"
Salem,2020,Rabi,Banana,Fruit,12420.0,12400.0,248000.0,20000.0,2200.0,54560.0,1400.0,200.0,80.0,160.0,2400.0,160.0,365,Any,Any,Drip,Very Low,"Project baseline dataset (2020-2023, course-provided)"
Salem,2020,Rabi,Sunflower,Oilseed,10240.0,10140.0,25350.0,2500.0,5650.0,14323.0,350.0,60.0,30.0,40.0,1400.0,70.0,95,November,February,Rainfed,Medium,"Project baseline dataset (2020-2023, course-provided)"
Salem,2020,Summer,Vegetables,Horticulture,8640.0,8600.0,86000.0,10000.0,2500.0,21500.0,600.0,100.0,80.0,80.0,3200.0,120.0,90,February,May,Drip,Low,"Project baseline dataset (2020-2023, course-provided)"
Salem,2020,Summer,Mango,Fruit,6420.0,6400.0,96000.0,15000.0,5000.0,48000.0,800.0,80.0,40.0,60.0,1600.0,80.0,365,Any,May,Drip,Low,"Project baseline dataset (2020-2023, course-provided)"
Salem,2021,Kharif,Paddy,Cereal,26240.0,26020.0,143110.0,5500.0,1868.0,26733.0,1200.0,120.0,60.0,60.0,2000.0,100.0,145,June,November,Flood,Low,"Project baseline dataset (2020-2023, course-provided)"
Salem,2021,Kharif,Maize,Cereal,20240.0,20020.0,128128.0,6400.0,1870.0,23960.0,480.0,120.0,60.0,40.0,2400.0,68.0,100,June,September,Drip+Flood,Low,"Project baseline dataset (2020-2023, course-provided)"
