Location,Year,Season,Crop_Name,Crop_Type,Area_Sown_Ha,Area_Harvested_Ha,Production_Tonnes,Yield_Kg_Ha,MSP_Rs_Qtl,Revenue_Rs_Lakh,Water_Req_mm,Fertilizer_N_Kg_Ha,Fertilizer_P_Kg_Ha,Fertilizer_K_Kg_Ha,Pesticide_Cost_Rs_Ha,Labor_Days_Ha,Crop_Duration_Days,Sowing_Month,Harvest_Month,Irrigation_Type,Rainfall_Dependency,data_source
Coimbatore,2020,Kharif,Maize,Cereal,28640.0,28420.0,182840.0,6433.0,1870.0,34141.0,480.0,120.0,60.0,40.0,2400.0,68.0,100,June,September,Drip+Flood,Low,"Project baseline dataset (2020-2023, course-provided)"
Coimbatore,2020,Kharif,Sugarcane,Commercial,22840.0,22640.0,2048400.0,90484.0,2900.0,593836.0,1800.0,250.0,80.0,120.0,3200.0,180.0,365,January,December,Drip,Very Low,"Project baseline dataset (2020-2023, course-provided)"
Coimbatore,2020,Kharif,Groundnut,Oilseed,18420.0,18240.0,36840.0,2020.0,5550.0,20446.0,400.0,25.0,50.0,40.0,1800.0,85.0,120,June,October,Rainfed,High,"Project baseline dataset (2020-2023, course-provided)"
Coimbatore,2020,Kharif,Cotton,Fiber,16840.0,16640.0,24960.0,1500.0,6080.0,15175.0,600.0,120.0,60.0,40.0,3600.0,120.0,180,June,December,Drip,Medium,"Project baseline dataset (2020-2023, course-provided)"
Coimbatore,2020,Kharif,Sorghum,Cereal,12480.0,12360.0,37080.0,3000.0,3180.0,11791.0,350.0,80.0,40.0,30.0,1200.0,65.0,110,June,October,Rainfed,High,"Project baseline dataset (2020-2023, course-provided)"
Coimbatore,2020,Rabi,Paddy,Cereal,24640.0,24420.0,131868.0,5400.0,1868.0,24612.0,1200.0,120.0,60.0,60.0,2000.0,100.0,145,November,March,Flood,Low,"Project baseline dataset (2020-2023, course-provided)"
Coimbatore,2020,Rabi,Wheat,Cereal,8420.0,8360.0,33440.0,4000.0,2015.0,6739.0,450.0,120.0,60.0,40.0,1400.0,80.0,120,November,March,Sprinkler,Low,"Project baseline dataset (2020-2023, course-provided)"
Coimbatore,2020,Rabi,Turmeric,Spice,6840.0,6760.0,67600.0,10000.0,7500.0,50700.0,1100.0,150.0,60.0,100.0,2800.0,140.0,270,January,October,Drip,Low,"Project baseline dataset (2020-2023, course-provided)"
Coimbatore,2020,Rabi,Sunflower,Oilseed,10240.0,10140.0,25350.0,2500.0,5650.0,14323.0,350.0,60.0,30.0,40.0,1400.0,70.0,95,November,February,Rainfed,Medium,"Project baseline dataset (2020-2023, course-provided)"
Coimbatore,2020,Summer,Vegetables,Horticulture,8420.0,8380.0,84380.0,10068.0,2500.0,21095.0,600.0,100.0,80.0,80.0,3200.0,120.0,90,February,May,Drip,Low,"Project baseline dataset (2020-2023, course-provided)"
