Location,Year,Season,Crop_Name,Crop_Type,Area_Sown_Ha,Area_Harvested_Ha,Production_Tonnes,Yield_Kg_Ha,MSP_Rs_Qtl,Revenue_Rs_Lakh,Water_Req_mm,Fertilizer_N_Kg_Ha,Fertilizer_P_Kg_Ha,Fertilizer_K_Kg_Ha,Pesticide_Cost_Rs_Ha,Labor_Days_Ha,Crop_Duration_Days,Sowing_Month,Harvest_Month,Irrigation_Type,Rainfall_Dependency,data_source
Pollachi,2020,Kharif,Coconut,Plantation,28640.0,28620.0,858600.0,30000.0,2600.0,223236.0,1200.0,100.0,40.0,140.0,1800.0,60.0,365,Any,Any,Drip+Flood,Medium,"Project baseline dataset (2020-2023, course-provided)"
Pollachi,2020,Kharif,Paddy,Cereal,22640.0,22420.0,120268.0,5364.0,1868.0,22466.0,1200.0,120.0,60.0,60.0,2000.0,100.0,145,June,November,Flood,Low,"Project baseline dataset (2020-2023, course-provided)"
Pollachi,2020,Kharif,Banana,Fruit,18420.0,18400.0,368000.0,20000.0,2200.0,80960.0,1400.0,200.0,80.0,160.0,2400.0,160.0,365,Any,Any,Drip,Very Low,"Project baseline dataset (2020-2023, course-provided)"
Pollachi,2020,Kharif,Sugarcane,Commercial,14840.0,14640.0,1356960.0,92688.0,2900.0,393522.0,1800.0,250.0,80.0,120.0,3200.0,180.0,365,January,December,Drip,Very Low,"Project baseline dataset (2020-2023, course-provided)"
Pollachi,2020,Kharif,Vegetables,Horticulture,8420.0,8380.0,84380.0,10068.0,2500.0,21095.0,600.0,100.0,80.0,80.0,3200.0,120.0,90,June,September,Drip,Low,"Project baseline dataset (2020-2023, course-provided)"
Pollachi,2020,Rabi,Paddy,Cereal,24640.0,24420.0,131868.0,5400.0,1868.0,24612.0,1200.0,120.0,60.0,60.0,2000.0,100.0,145,November,March,Flood,Low,"Project baseline dataset (2020-2023, course-provided)"
Pollachi,2020,Rabi,Groundnut,Oilseed,14240.0,14040.0,28080.0,2000.0,5550.0,15584.0,400.0,25.0,50.0,40.0,1800.0,85.0,120,November,February,Rainfed,High,"Project baseline dataset (2020-2023, course-provided)"
Pollachi,2020,Rabi,Turmeric,Spice,10240.0,10140.0,101400.0,10000.0,7500.0,76050.0,1100.0,150.0,60.0,100.0,2800.0,140.0,270,January,October,Drip,Low,"Project baseline dataset (2020-2023, course-provided)"
Pollachi,2020,Summer,Maize,Cereal,12640.0,12520.0,82632.0,6600.0,1870.0,15452.0,480.0,120.0,60.0,40.0,2400.0,68.0,100,February,May,Drip,Low,"Project baseline dataset (2020-2023, course-provided)"
Pollachi,2020,Summer,Fodder Crops,Fodder,6840.0,6820.0,136400.0,20000.0,800.0,10912.0,500.0,60.0,30.0,40.0,800.0,50.0,90,February,May,Rainfed,High,"Project baseline dataset (2020-2023, course-provided)"
Pollachi,2021,Kharif,Coconut,Plantation,30240.0,30220.0,906600.0,30000.0,2600.0,235716.0,1200.0,100.0,40.0,140.0,1800.0,60.0,365,Any,Any,Drip+Flood,Medium,"Project baseline dataset (2020-2023, course-provided)"
Pollachi,2021,Kharif,Paddy,Cereal,24240.0,24020.0,132110.0,5500.0,1868.0,24678.0,1200.0,120.0,60.0,60.0,2000.0,100.0,145,June,November,Flood,Low,"Project baseline dataset (2020-2023, course-provided)"
Pollachi,2021,Kharif,Banana,Fruit,19620.0,19600.0,392000.0,20000.0,2200.0,86240.0,1400.0,200.0,80.0,160.0,2400.0,160.0,365,Any,Any,Drip,Very Low,"Project baseline dataset (2020-2023, course-provided)"
Pollachi,2021,Kharif,Sugarcane,Commercial,16040.0,15840.0,1479936.0,93428.0,2900.0,429082.0,1800.0,250.0,80.0,120.0,3200.0,180.0,365,January,December,Drip,Very Low,"Project baseline dataset (2020-2023, course-provided)"
Pollachi,2021,Kharif,Vegetables,Horticulture,9020.0,8980.0,90251.0,10050.0,2500.0,22563.0,600.0,100.0,80.0,80.0,3200.0,120.0,90,June,September,Drip,Low,"Project baseline dataset (2020-2023, course-provided)"
Pollachi,2021,Rabi,Paddy,Cereal,26240.0,26020.0,143110.0,5500.0,1868.0,26733.0,1200.0,120.0,60.0,60.0,2000.0,100.0,145,November,March,Flood,Low,"Project baseline dataset (2020-2023, course-provided)"
Pollachi,2021,Rabi,Groundnut,Oilseed,15040.0,14840.0,30282.0,2040.0,5550.0,16807.0,400.0,25.0,50.0,40.0,1800.0,85.0,120,November,February,Rainfed,High,"Project baseline dataset (2020-2023, course-provided)"
Pollachi,2021,Rabi,Turmeric,Spice,11040.0,10940.0,109400.0,10000.0,7500.0,82050.0,1100.0,150.0,60.0,100.0,2800.0,140.0,270,January,October,Drip,Low,"Project baseline dataset (2020-2023, course-provided)"
Pollachi,2021,Summer,Maize,Cereal,13840.0,13720.0,91024.0,6634.0,1870.0,17022.0,480.0,120.0,60.0,40.0,2400.0,68.0,100,February,May,Drip,Low,"Project baseline dataset (2020-2023, course-provided)"
Pollachi,2021,Summer,Fodder Crops,Fodder,7240.0,7220.0,144400.0,20000.0,820.0,11841.0,500.0,60.0,30.0,40.0,820.0,50.0,90,February,May,Rainfed,High,"Project baseline dataset (2020-2023, course-provided)"
Pollachi,2022,Kharif,Coconut,Plantation,31840.0,31820.0,954600.0,30000.0,2700.0,257742.0,1200.0,100.0,40.0,140.0,1900.0,60.0,365,Any,Any,Drip+Flood,Medium,"Project baseline dataset (2020-2023, course-provided)"
Pollachi,2022,Kharif,Paddy,Cereal,25840.0,25620.0,145434.0,5676.0,1960.0,28525.0,1200.0,120.0,60.0,60.0,2100.0,100.0,145,June,November,Flood,Low,"Project baseline dataset (2020-2023, course-provided)"
Pollachi,2022,Kharif,Banana,Fruit,20820.0,20800.0,416000.0,20000.0,2300.0,95680.0,1400.0,200.0,80.0,160.0,2500.0,160.0,365,Any,Any,Drip,Very Low,"Project baseline dataset (2020-2023, course-provided)"
Pollachi,2022,Kharif,Sugarcane,Commercial,17240.0,17040.0,1619712.0,95052.0,3050.0,494142.0,1800.0,250.0,80.0,120.0,3400.0,180.0,365,January,December,Drip,Very Low,"Project baseline dataset (2020-2023, course-provided)"
